id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
0, Casava,InsurTech,Digital Brokers or Agents,2016.0,2021,Private,Nigeria,Nigeria,Nov-50,,,,Active
1, Cincel ,"Enterprise Tech Provisioning, Digital Identity","Enterprise Blockchain, API Management, KYC Solutions",2019.0,2020,Private,Mexico,Mexico,Nov-50,,,,Active
2, CrossLend,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2014.0,2015,Private,Germany,Germany,51-200,,,,Active
3, Embroker ,"InsurTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Cloud Computing, AI / ML / NLP",2015.0,2016,Private,United States,United States,51-200,,,,Active
4, Even Financial,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, API Interface",2014.0,2015,Private,United States,United States,51-200,,,,Active
5, GRID Finance,Digital Lending,P2P / Marketplace Business Lending,2013.0,2018,Private,Ireland,Ireland,Nov-50,,,,Active
6, IceKredit ,"RegTech, Alternative Credit Analytics, Enterprise Tech Provisioning","Risk Analytics, Dynamic Compliance, Credit Scoring, Financial Management & Business Intelligence",2016.0,2015,Private,United States,United States,201-500,,,,Active
7, Jaja Finance,"WealthTech, Digital Payments, Digital Lending, Digital Banks","Personal Financial Management / Planning, Acquiring Services Providers for Merchants, Balance Sheet Consumer Lending, Balance Sheet Business Lending, Agent Banking (Cash-In / Cash-Out)",2015.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
8, Jamii Africa ,InsurTech,Digital Brokers or Agents,2012.0,2012,Private,Tanzania,Tanzania,10-Jan,,,,Active
9, League,Digital Savings,Savings-as-a-Service (SaaS),2014.0,2015,Private,Canada,Canada,201-500,,,,Active
10, LinkAja,Digital Payments,eMoney Issuers,,2019,Private,Indonesia,Indonesia,501-1000,,,,Active
11, MobiCash,"Digital Payments, Digital Identity, Digital Lending, Digital Banks","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Top-ups & Refills, Bulk Payment Solutions, Acquiring Services Providers for Merchants, eMoney Issuers, Payment Gateways, Security & Biometrics, Balance Sheet Consumer Lending, Fully Digitally Native Bank (Retail)",2007.0,2009,Private,South Africa,"Hong Kong SAR, China",51-200,,,,Active
12, MyShubhLife,"Digital Lending, Alternative Credit Analytics, Digital Savings","Balance Sheet Consumer Lending, Credit Scoring, Digital Money Market / Fund  ",2016.0,2016,Private,India,India,51-200,,,,Active
13, Propelld,Digital Lending,P2P / Marketplace Consumer Lending,2016.0,2017,Private,India,India,201-500,,,,Active
