id,name,year,value,unit
0,Antigua y Barbuda,2017,1468,Millones de dólares
1,Antigua y Barbuda,2018,1606,Millones de dólares
2,Antigua y Barbuda,2019,1688,Millones de dólares
3,Antigua y Barbuda,2020,1370,Millones de dólares
4,Antigua y Barbuda,2021,1471,Millones de dólares
5,Argentina,2017,643628,Millones de dólares
6,Argentina,2018,524820,Millones de dólares
7,Argentina,2019,452819,Millones de dólares
8,Argentina,2020,389591,Millones de dólares
9,Argentina,2021,491492,Millones de dólares
10,Bahamas,2017,12360,Millones de dólares
11,Bahamas,2018,12838,Millones de dólares
12,Bahamas,2019,13164,Millones de dólares
13,Bahamas,2020,9908,Millones de dólares
14,Bahamas,2021,10355,Millones de dólares
15,Barbados,2017,4982,Millones de dólares
16,Barbados,2018,5097,Millones de dólares
17,Barbados,2019,5304,Millones de dólares
18,Barbados,2020,4690,Millones de dólares
19,Barbados,2021,4894,Millones de dólares
20,Belice,2017,1845,Millones de dólares
21,Belice,2018,1887,Millones de dólares
22,Belice,2019,1945,Millones de dólares
23,Belice,2020,1586,Millones de dólares
24,Belice,2021,1678,Millones de dólares
25,Bolivia (Estado Plurinacional de),2017,37509,Millones de dólares
26,Bolivia (Estado Plurinacional de),2018,40288,Millones de dólares
27,Bolivia (Estado Plurinacional de),2019,40895,Millones de dólares
28,Bolivia (Estado Plurinacional de),2020,36630,Millones de dólares
29,Bolivia (Estado Plurinacional de),2021,40408,Millones de dólares
30,Brasil,2017,2063515,Millones de dólares
31,Brasil,2018,1916934,Millones de dólares
32,Brasil,2019,1873288,Millones de dólares
33,Brasil,2020,1448566,Millones de dólares
34,Brasil,2021,1608981,Millones de dólares
35,Chile,2017,276365,Millones de dólares
36,Chile,2018,295403,Millones de dólares
37,Chile,2019,278585,Millones de dólares
38,Chile,2020,252727,Millones de dólares
39,Chile,2021,317059,Millones de dólares
40,Colombia,2017,311884,Millones de dólares
41,Colombia,2018,334198,Millones de dólares
42,Colombia,2019,323110,Millones de dólares
43,Colombia,2020,270300,Millones de dólares
44,Colombia,2021,314322,Millones de dólares
45,Costa Rica,2019,64418,Millones de dólares
46,Costa Rica,2020,62158,Millones de dólares
47,Costa Rica,2021,64282,Millones de dólares
48,Cuba,2021,187898,Millones de dólares
49,Guyana,2017,4748,Millones de dólares
50,Haití,2017,15237,Millones de dólares
51,Haití,2018,15822,Millones de dólares
52,Haití,2019,14007,Millones de dólares
53,Honduras,2017,23136,Millones de dólares
54,Honduras,2018,24068,Millones de dólares
55,Honduras,2019,25090,Millones de dólares
56,Honduras,2020,23828,Millones de dólares
57,Honduras,2021,28489,Millones de dólares
58,Jamaica,2017,14809,Millones de dólares
59,Jamaica,2018,15731,Millones de dólares
60,Jamaica,2019,15831,Millones de dólares
61,Jamaica,2020,13812,Millones de dólares
62,Jamaica,2021,14742,Millones de dólares
63,México,2017,1158912,Millones de dólares
64,México,2018,1222406,Millones de dólares
65,México,2019,1269402,Millones de dólares
66,México,2020,1087117,Millones de dólares
67,México,2021,1293037,Millones de dólares
68,Nicaragua,2017,13786,Millones de dólares
69,Nicaragua,2018,13025,Millones de dólares
70,Nicaragua,2019,12597,Millones de dólares
