id,name,year,period,value,unit
0,Argentina,2015,Anual,28,Porcentaje anual
1,Bahamas,2015,Anual,12,Porcentaje anual
2,Bolivia (Estado Plurinacional de),2015,Anual,6,Porcentaje anual
3,Brasil,2015,Anual,50,Porcentaje anual
4,Chile,2015,Anual,9,Porcentaje anual
5,Colombia,2015,Anual,12,Porcentaje anual
6,Costa Rica,2015,Anual,16,Porcentaje anual
7,Ecuador,2015,Anual,8,Porcentaje anual
8,El Salvador,2015,Anual,6,Porcentaje anual
9,Granada,2015,Anual,9,Porcentaje anual
10,Guatemala,2015,Anual,13,Porcentaje anual
11,Guyana,2015,Anual,11,Porcentaje anual
12,Nicaragua,2015,Anual,12,Porcentaje anual
13,PanamÃ¡,2015,Anual,7,Porcentaje anual
14,PerÃº,2015,Anual,16,Porcentaje anual
15,RepÃºblica Dominicana,2015,Anual,15,Porcentaje anual
16,Suriname,2015,Anual,13,Porcentaje anual
17,Trinidad y Tabago,2015,Anual,8,Porcentaje anual
18,Uruguay,2015,Anual,17,Porcentaje anual
19,Venezuela (RepÃºblica Bolivariana de),2015,Anual,20,Porcentaje anual
20,Antigua y Barbuda,2015,Anual,9,Porcentaje anual
21,Barbados,2015,Anual,7,Porcentaje anual
22,Belice,2015,Anual,10,Porcentaje anual
23,Dominica,2015,Anual,9,Porcentaje anual
24,HaitÃ­,2015,Anual,19,Porcentaje anual
25,Honduras,2015,Anual,21,Porcentaje anual
26,MÃ©xico,2015,Anual,28,Porcentaje anual
27,Paraguay,2015,Anual,14,Porcentaje anual
28,Saint Kitts y Nevis,2015,Anual,9,Porcentaje anual
29,San Vicente y las Granadinas,2015,Anual,9,Porcentaje anual
30,Santa LucÃ­a,2015,Anual,9,Porcentaje anual
31,Jamaica,2015,Anual,17,Porcentaje anual
32,Argentina,2016,Anual,33,Porcentaje anual
33,Bolivia (Estado Plurinacional de),2016,Anual,6,Porcentaje anual
34,Brasil,2016,Anual,54,Porcentaje anual
35,Chile,2016,Anual,10,Porcentaje anual
36,Colombia,2016,Anual,15,Porcentaje anual
37,Costa Rica,2016,Anual,15,Porcentaje anual
38,Ecuador,2016,Anual,9,Porcentaje anual
39,El Salvador,2016,Anual,6,Porcentaje anual
40,Guatemala,2016,Anual,13,Porcentaje anual
41,HaitÃ­,2016,Anual,20,Porcentaje anual
42,Nicaragua,2016,Anual,11,Porcentaje anual
43,PerÃº,2016,Anual,17,Porcentaje anual
44,RepÃºblica Dominicana,2016,Anual,15,Porcentaje anual
45,Trinidad y Tabago,2016,Anual,9,Porcentaje anual
46,Uruguay,2016,Anual,18,Porcentaje anual
47,Venezuela (RepÃºblica Bolivariana de),2016,Anual,21,Porcentaje anual
48,Antigua y Barbuda,2016,Anual,9,Porcentaje anual
49,Bahamas,2016,Anual,13,Porcentaje anual
50,Barbados,2016,Anual,7,Porcentaje anual
51,Belice,2016,Anual,10,Porcentaje anual
52,Dominica,2016,Anual,8,Porcentaje anual
53,Granada,2016,Anual,8,Porcentaje anual
54,Guyana,2016,Anual,11,Porcentaje anual
55,Honduras,2016,Anual,19,Porcentaje anual
56,Jamaica,2016,Anual,17,Porcentaje anual
57,MÃ©xico,2016,Anual,27,Porcentaje anual
58,PanamÃ¡,2016,Anual,7,Porcentaje anual
59,Paraguay,2016,Anual,16,Porcentaje anual
60,Saint Kitts y Nevis,2016,Anual,9,Porcentaje anual
61,San Vicente y las Granadinas,2016,Anual,9,Porcentaje anual
62,Santa LucÃ­a,2016,Anual,8,Porcentaje anual
63,Suriname,2016,Anual,14,Porcentaje anual
64,Argentina,2017,Anual,27,Porcentaje anual
65,Bolivia (Estado Plurinacional de),2017,Anual,6,Porcentaje anual
66,Chile,2017,Anual,11,Porcentaje anual
67,Colombia,2017,Anual,14,Porcentaje anual
