id,Country,Subject Descriptor,Units,Scale,2017,2018,2019,2020,2021,2022
0,Argentina,Unemployment rate,Percent of total labor force,,8.35,9.2,9.825,11.364,10.552,9.335
1,Aruba,Unemployment rate,Percent of total labor force,,8.923,7.283,5.1,13.997,19.998,11.501
2,The Bahamas,Unemployment rate,Percent of total labor force,,10.1,10.35,10.1,25.571,23.998,17.25
3,Barbados,Unemployment rate,Percent of total labor force,,9.95,10.05,10.357,17.145,16.11,13.966
4,Belize,Unemployment rate,Percent of total labor force,,9.35,9.725,9.0,23.699,23.237,18.811
5,Bolivia,Unemployment rate,Percent of total labor force,,4.0,4.0,4.0,8.0,4.0,4.0
6,Brazil,Unemployment rate,Percent of total labor force,,12.767,12.258,11.925,13.242,14.489,13.24
7,Chile,Unemployment rate,Percent of total labor force,,6.965,7.377,7.223,10.778,8.964,8.244
8,Colombia,Unemployment rate,Percent of total labor force,,9.383,9.683,10.5,16.083,12.848,12.286
9,Costa Rica,Unemployment rate,Percent of total labor force,,9.293,11.951,12.417,19.98,16.0,14.0
10,Dominican Republic,Unemployment rate,Percent of total labor force,,5.509,5.656,6.167,5.732,5.976,5.812
11,Ecuador,Unemployment rate,Percent of total labor force,,4.62,3.69,3.84,5.267,4.461,4.433
12,El Salvador,Unemployment rate,Percent of total labor force,,7.049,6.347,6.733,9.044,9.5,8.2
13,Honduras,Unemployment rate,Percent of total labor force,,5.528,5.648,5.386,6.184,5.277,4.93
14,Jamaica,Unemployment rate,Percent of total labor force,,11.65,9.125,7.7,,,
15,Mexico,Unemployment rate,Percent of total labor force,,3.423,3.336,3.497,4.42,3.6,3.329
16,Nicaragua,Unemployment rate,Percent of total labor force,,3.67,5.5,6.127,8.061,11.1,7.518
17,Panama,Unemployment rate,Percent of total labor force,,6.13,5.956,7.07,18.548,10.117,9.109
18,Paraguay,Unemployment rate,Percent of total labor force,,6.086,6.236,6.086,6.559,6.137,5.946
19,Peru,Unemployment rate,Percent of total labor force,,6.876,6.7,6.6,13.6,9.689,7.571
20,Suriname,Unemployment rate,Percent of total labor force,,7.0,9.0,8.953,11.291,11.172,10.906
21,Trinidad and Tobago,Unemployment rate,Percent of total labor force,,4.825,3.925,,,,
22,Uruguay,Unemployment rate,Percent of total labor force,,7.925,8.367,8.925,10.35,10.265,9.069
23,Venezuela,Unemployment rate,Percent of total labor force,,27.886,35.543,,,,
