Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,México,MEX,14.03,13.86,13.73,12.79,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Argentina,ARG,13.54,13.49,13.45,13.21,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Antigua y Barbuda,ATG,25.6,23.99,23.75,20.91,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Bahamas,BHS,27.85,28.1,24.38,24.65,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Barbados,BRB,16.97,16.88,15.54,14.63,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Belice,BLZ,19.64,19.1,18.59,18.12,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Brasil,BRA,19.51,18.98,18.7,17.88,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Colombia,COL,15.37,14.86,14.48,13.5,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Costa Rica,CRI,20.53,19.68,18.95,17.18,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Cuba,CUB,,,,,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Chile,CHL,14.8,13.97,13.05,12.31,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Dominica,DMA,15.55,15.51,15.42,15.42,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Ecuador,ECU,9.68,9.49,9.74,,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,El Salvador,SLV,14.82,14.92,14.79,14.64,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Granada,GRD,23.54,23.48,23.41,22.15,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Guatemala,GTM,34.19,27.69,25.56,24.3,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Guyana,GUY,8.31,8.23,8.15,8.09,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Haití,HTI,2.66,2.69,2.72,2.62,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Honduras,HND,19.44,18.89,18.39,16.1,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Jamaica,JAM,6.67,6.35,6.48,6.35,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Nicaragua,NIC,11.16,9.44,8.8,7.99,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Panamá,PAN,22.22,21.66,20.2,20.15,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Paraguay,PRY,11.68,11.53,11.02,9.82,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Perú,PER,7.6,7.22,6.56,6,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,República Dominicana,DOM,12.77,12.56,12.33,11.71,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,San Vicente y las Granadinas,VCT,16.54,16.4,16.27,16.16,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Santa Lucía,LCA,15.67,15.52,16.72,15.27,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Suriname,SUR,11.59,11.68,11.53,11.39,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Trinidad y Tobago,TTO,12.09,11.75,11.51,11.17,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Uruguay,URY,10.98,10.04,9.84,10.01,
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Venezuela,VEN,,,,,
