Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
 Casava,InsurTech,Digital Brokers or Agents,2016,2021,Private,Nigeria,Nigeria,Nov-50,,,,Active
 Cincel ,"Enterprise Tech Provisioning, Digital Identity","Enterprise Blockchain, API Management, KYC Solutions",2019,2020,Private,Mexico,Mexico,Nov-50,,,,Active
 CrossLend,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2014,2015,Private,Germany,Germany,51-200,,,,Active
 Embroker ,"InsurTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Cloud Computing, AI / ML / NLP",2015,2016,Private,United States,United States,51-200,,,,Active
 Even Financial,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, API Interface",2014,2015,Private,United States,United States,51-200,,,,Active
 GRID Finance,Digital Lending,P2P / Marketplace Business Lending,2013,2018,Private,Ireland,Ireland,Nov-50,,,,Active
 IceKredit ,"RegTech, Alternative Credit Analytics, Enterprise Tech Provisioning","Risk Analytics, Dynamic Compliance, Credit Scoring, Financial Management & Business Intelligence",2016,2015,Private,United States,United States,201-500,,,,Active
 Jaja Finance,"WealthTech, Digital Payments, Digital Lending, Digital Banks","Personal Financial Management / Planning, Acquiring Services Providers for Merchants, Balance Sheet Consumer Lending, Balance Sheet Business Lending, Agent Banking (Cash-In / Cash-Out)",2015,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
 Jamii Africa ,InsurTech,Digital Brokers or Agents,2012,2012,Private,Tanzania,Tanzania,10-Jan,,,,Active
 League,Digital Savings,Savings-as-a-Service (SaaS),2014,2015,Private,Canada,Canada,201-500,,,,Active
 LinkAja,Digital Payments,eMoney Issuers,,2019,Private,Indonesia,Indonesia,501-1000,,,,Active
 MobiCash,"Digital Payments, Digital Identity, Digital Lending, Digital Banks","Mobile Money, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Top-ups & Refills, Bulk Payment Solutions, Acquiring Services Providers for Merchants, eMoney Issuers, Payment Gateways, Security & Biometrics, Balance Sheet Consumer Lending, Fully Digitally Native Bank (Retail)",2007,2009,Private,South Africa,"Hong Kong SAR, China",51-200,,,,Active
 MyShubhLife,"Digital Lending, Alternative Credit Analytics, Digital Savings","Balance Sheet Consumer Lending, Credit Scoring, Digital Money Market / Fund  ",2016,2016,Private,India,India,51-200,,,,Active
 Propelld,Digital Lending,P2P / Marketplace Consumer Lending,2016,2017,Private,India,India,201-500,,,,Active
 SelFin,Digital Lending,"Balance Sheet Business Lending, P2P / Marketplace Business Lending",,2019,Private,India,India,51-200,,,,Active
 Sightline Payments,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants",2008,2012,Private,United States,United States,51-200,,,,Active
100 Ladrillos,Digital Capital Raising,Real Estate Crowdfunding,,2017,Private,Unidentified,Mexico,10-Jan,,,,Active
100% Project ,Digital Capital Raising,Donation-Based Crowdfunding,2015,2015,Private,Malaysia,Malaysia,30,,,,Active
1000x1000 Crowdbusiness GmbH,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding, Donation-Based Crowdfunding",2012,2009,Private,Austria,Austria,,,,,Active
10xBanking,Digital Banks,Banking-as-a-Service (BaaS),2016,2017,Private,United Kingdom,United Kingdom,501-1000,,,,Active
121 Business Finance,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Balance Sheet Business Lending",2015,2015,Private,India,India,30,,,,Active
1BTCXE,Cryptoasset Exchange,Order-Book,,2014,Private,Panama,Panama,,2019,,,Inactive
1Crowd,Digital Capital Raising,Equity-Based Crowdfunding,2015,2015,Private,India,India,30,,,,Active
1EX.Trade,Cryptoasset Exchange,Order-Book,,2015,Private,Switzerland,Switzerland,,,,,Active
1inch,Cryptoasset Exchange,"Decentralised Exchange (DEX) Relayer, Aggregation",2020,2020,Non profit,Unidentified,British Virgin Islands,Nov-50,,,,Active
247Exchange,Cryptoasset Exchange,Retail Brokerage Services,2014,2014,Private,Belize,Unidentified,,2020,,,Inactive
2C2P,"Digital Payments, Digital Identity, Enterprise Tech Provisioning","Payment Gateways, Payment Aggregators, Bulk Payment Solutions, Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Mobile Money, eMoney Issuers, Fraud Prevention & Risk Management, Financial Management & Business Intelligence, Cloud Computing, Electronic Invoicing",2007,2008,Private,Singapore,Singapore,201-500,,,,Active
