Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Aruba,ABW,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,254,015,487","4,244,572,582","-2,272,666,799","6,572,317,635",
,AFE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,9837084746","1,367,465,027","1,389,270,286","1,366,105,533",
Afganistán,AFG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,2747965991","0,6615720019","0,1244959439","0,06447633446",
,AFW,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,583,174,144","2,090,089,663","2,162,984,411","2,104,491,178",
Angola,AGO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-1,072,495,142","-8,299,051,825","-5,913,333,838","-3,480,978,078",
Albania,ALB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,855,470,516","7,946,351,351","7,797,918,141","7,069,484,097",
Andorra,AND,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
El mundo árabe,ARB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,170,805,536","1,221,468,529","1,399,579,305","1,577,376,555",
Emiratos Árabes Unidos,ARE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,685,185,459","245,971,482","4,284,274,398","5,540,874,712",
Argentina,ARG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,789,364,285","2,232,532,213","1,471,464,438","103,160,799",
Armenia,ARM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,176,846,777","2,141,806,067","0,7411992401","0,3732520913",
Samoa Americana,ASM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Antigua y Barbuda,ATG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,030,476,282","1,275,541,809","757,100,155","5,365,871,269",
Australia,AUS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,632,469,395","4,292,849,405","2,809,090,017","1,385,989,118",
Austria,AUT,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"323,990,498","-6,284,657,043","-2,948,459,382","-4,204,124,881",
Azerbaiyán,AZE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,016,879,437","2,977,946,112","3,121,830,561","1,187,903,872",
Burundi,BDI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,01166798064","0,03698125591","0,04048238358","0,2178409363",
Bélgica,BEL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-7,416,757,538","-765,649,927","-5,617,632,907","-3,368,107,512",
Benin,BEN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,581,705,088","1,360,735,835","1,516,207,775","1,111,838,789",
Burkina Faso,BFA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,01823703264","1,689,199,557","1,007,346,446","-0,5507975031",
