name,year,value,unit
Antigua y Barbuda,2017,1468,Millones de dólares
Antigua y Barbuda,2018,1606,Millones de dólares
Antigua y Barbuda,2019,1688,Millones de dólares
Antigua y Barbuda,2020,1370,Millones de dólares
Antigua y Barbuda,2021,1471,Millones de dólares
Argentina,2017,643628,Millones de dólares
Argentina,2018,524820,Millones de dólares
Argentina,2019,452819,Millones de dólares
Argentina,2020,389591,Millones de dólares
Argentina,2021,491492,Millones de dólares
Bahamas,2017,12360,Millones de dólares
Bahamas,2018,12838,Millones de dólares
Bahamas,2019,13164,Millones de dólares
Bahamas,2020,9908,Millones de dólares
Bahamas,2021,10355,Millones de dólares
Barbados,2017,4982,Millones de dólares
Barbados,2018,5097,Millones de dólares
Barbados,2019,5304,Millones de dólares
Barbados,2020,4690,Millones de dólares
Barbados,2021,4894,Millones de dólares
Belice,2017,1845,Millones de dólares
Belice,2018,1887,Millones de dólares
Belice,2019,1945,Millones de dólares
Belice,2020,1586,Millones de dólares
Belice,2021,1678,Millones de dólares
Bolivia (Estado Plurinacional de),2017,37509,Millones de dólares
Bolivia (Estado Plurinacional de),2018,40288,Millones de dólares
Bolivia (Estado Plurinacional de),2019,40895,Millones de dólares
Bolivia (Estado Plurinacional de),2020,36630,Millones de dólares
Bolivia (Estado Plurinacional de),2021,40408,Millones de dólares
Brasil,2017,2063515,Millones de dólares
Brasil,2018,1916934,Millones de dólares
Brasil,2019,1873288,Millones de dólares
Brasil,2020,1448566,Millones de dólares
Brasil,2021,1608981,Millones de dólares
Chile,2017,276365,Millones de dólares
Chile,2018,295403,Millones de dólares
Chile,2019,278585,Millones de dólares
Chile,2020,252727,Millones de dólares
Chile,2021,317059,Millones de dólares
Colombia,2017,311884,Millones de dólares
Colombia,2018,334198,Millones de dólares
Colombia,2019,323110,Millones de dólares
Colombia,2020,270300,Millones de dólares
Colombia,2021,314322,Millones de dólares
Costa Rica,2019,64418,Millones de dólares
Costa Rica,2020,62158,Millones de dólares
Costa Rica,2021,64282,Millones de dólares
Cuba,2021,187898,Millones de dólares
Guyana,2017,4748,Millones de dólares
Haití,2017,15237,Millones de dólares
Haití,2018,15822,Millones de dólares
Haití,2019,14007,Millones de dólares
Honduras,2017,23136,Millones de dólares
Honduras,2018,24068,Millones de dólares
Honduras,2019,25090,Millones de dólares
Honduras,2020,23828,Millones de dólares
Honduras,2021,28489,Millones de dólares
Jamaica,2017,14809,Millones de dólares
Jamaica,2018,15731,Millones de dólares
Jamaica,2019,15831,Millones de dólares
Jamaica,2020,13812,Millones de dólares
Jamaica,2021,14742,Millones de dólares
México,2017,1158912,Millones de dólares
México,2018,1222406,Millones de dólares
México,2019,1269402,Millones de dólares
México,2020,1087117,Millones de dólares
México,2021,1293037,Millones de dólares
Nicaragua,2017,13786,Millones de dólares
Nicaragua,2018,13025,Millones de dólares
Nicaragua,2019,12597,Millones de dólares
Nicaragua,2020,12587,Millones de dólares
Nicaragua,2021,14013,Millones de dólares
Panamá,2017,62203,Millones de dólares
Panamá,2018,64929,Millones de dólares
Panamá,2019,66984,Millones de dólares
Panamá,2020,53977,Millones de dólares
Panamá,2021,63605,Millones de dólares
Paraguay,2017,38997,Millones de dólares
Paraguay,2018,40225,Millones de dólares
Paraguay,2019,37925,Millones de dólares
Paraguay,2020,35432,Millones de dólares
Paraguay,2021,40458,Millones de dólares
Perú,2017,211008,Millones de dólares
Perú,2018,222597,Millones de dólares
Perú,2019,228326,Millones de dólares
Perú,2020,201703,Millones de dólares
Perú,2021,214361,Millones de dólares
República Dominicana,2017,79998,Millones de dólares
República Dominicana,2018,85555,Millones de dólares
República Dominicana,2019,88941,Millones de dólares
República Dominicana,2020,78845,Millones de dólares
República Dominicana,2021,94243,Millones de dólares
Saint Kitts y Nevis,2017,1061,Millones de dólares
Saint Kitts y Nevis,2018,1079,Millones de dólares
Saint Kitts y Nevis,2019,1109,Millones de dólares
Saint Kitts y Nevis,2020,885,Millones de dólares
Saint Kitts y Nevis,2021,869,Millones de dólares
San Vicente y las Granadinas,2017,848,Millones de dólares
San Vicente y las Granadinas,2018,884,Millones de dólares
San Vicente y las Granadinas,2019,910,Millones de dólares
San Vicente y las Granadinas,2020,872,Millones de dólares
San Vicente y las Granadinas,2021,890,Millones de dólares
Santa Lucía,2017,1997,Millones de dólares
Santa Lucía,2018,2065,Millones de dólares
Santa Lucía,2019,2119,Millones de dólares
Santa Lucía,2020,1617,Millones de dólares
Santa Lucía,2021,1766,Millones de dólares
Suriname,2019,4221,Millones de dólares
Suriname,2020,4120,Millones de dólares
Suriname,2021,3275,Millones de dólares
Trinidad y Tabago,2019,23886,Millones de dólares
Trinidad y Tabago,2020,21393,Millones de dólares
Trinidad y Tabago,2021,22478,Millones de dólares
Uruguay,2021,59318,Millones de dólares
Suriname,2017,3592,Millones de dólares
Suriname,2018,3996,Millones de dólares
Trinidad y Tabago,2017,23180,Millones de dólares
Trinidad y Tabago,2018,23821,Millones de dólares
Uruguay,2017,64234,Millones de dólares
Uruguay,2018,64515,Millones de dólares
Uruguay,2019,61231,Millones de dólares
Uruguay,2020,53561,Millones de dólares
Venezuela (República Bolivariana de),2017,66728,Millones de dólares
Ecuador,2017,104296,Millones de dólares
Ecuador,2018,107562,Millones de dólares
Ecuador,2019,108108,Millones de dólares
Ecuador,2020,99291,Millones de dólares
Ecuador,2021,106166,Millones de dólares
El Salvador,2017,24979,Millones de dólares
El Salvador,2018,26021,Millones de dólares
El Salvador,2019,26881,Millones de dólares
El Salvador,2020,24563,Millones de dólares
El Salvador,2021,27928,Millones de dólares
Granada,2017,1126,Millones de dólares
Granada,2018,1167,Millones de dólares
Granada,2019,1213,Millones de dólares
Granada,2020,1043,Millones de dólares
Granada,2021,1121,Millones de dólares
Guatemala,2017,71654,Millones de dólares
Guatemala,2018,73209,Millones de dólares
Guatemala,2019,77020,Millones de dólares
Guatemala,2020,77605,Millones de dólares
Guatemala,2021,86832,Millones de dólares
Guyana,2018,4788,Millones de dólares
Guyana,2019,5174,Millones de dólares
Guyana,2020,5471,Millones de dólares
Guyana,2021,6817,Millones de dólares
Haití,2020,15505,Millones de dólares
Haití,2021,19536,Millones de dólares
Costa Rica,2017,60516,Millones de dólares
Costa Rica,2018,62420,Millones de dólares
Cuba,2017,96851,Millones de dólares
Cuba,2018,100050,Millones de dólares
Cuba,2019,103428,Millones de dólares
Cuba,2020,107352,Millones de dólares
Dominica,2017,522,Millones de dólares
Dominica,2018,555,Millones de dólares
Dominica,2019,612,Millones de dólares
Dominica,2020,504,Millones de dólares
Dominica,2021,546,Millones de dólares
