Country,Subject Descriptor,Units,Scale,2017,2018,2019,2020,2021,2022
Argentina,Unemployment rate,Percent of total labor force,,8.35,9.2,9.825,11.364,10.552,9.335
Aruba,Unemployment rate,Percent of total labor force,,8.923,7.283,5.1,13.997,19.998,11.501
The Bahamas,Unemployment rate,Percent of total labor force,,10.1,10.35,10.1,25.571,23.998,17.25
Barbados,Unemployment rate,Percent of total labor force,,9.95,10.05,10.357,17.145,16.11,13.966
Belize,Unemployment rate,Percent of total labor force,,9.35,9.725,9,23.699,23.237,18.811
Bolivia,Unemployment rate,Percent of total labor force,,4,4,4,8,4,4
Brazil,Unemployment rate,Percent of total labor force,,12.767,12.258,11.925,13.242,14.489,13.24
Chile,Unemployment rate,Percent of total labor force,,6.965,7.377,7.223,10.778,8.964,8.244
Colombia,Unemployment rate,Percent of total labor force,,9.383,9.683,10.5,16.083,12.848,12.286
Costa Rica,Unemployment rate,Percent of total labor force,,9.293,11.951,12.417,19.98,16,14
Dominican Republic,Unemployment rate,Percent of total labor force,,5.509,5.656,6.167,5.732,5.976,5.812
Ecuador,Unemployment rate,Percent of total labor force,,4.62,3.69,3.84,5.267,4.461,4.433
El Salvador,Unemployment rate,Percent of total labor force,,7.049,6.347,6.733,9.044,9.5,8.2
Honduras,Unemployment rate,Percent of total labor force,,5.528,5.648,5.386,6.184,5.277,4.93
Jamaica,Unemployment rate,Percent of total labor force,,11.65,9.125,7.7,n/a,n/a,n/a
Mexico,Unemployment rate,Percent of total labor force,,3.423,3.336,3.497,4.42,3.6,3.329
Nicaragua,Unemployment rate,Percent of total labor force,,3.67,5.5,6.127,8.061,11.1,7.518
Panama,Unemployment rate,Percent of total labor force,,6.13,5.956,7.07,18.548,10.117,9.109
Paraguay,Unemployment rate,Percent of total labor force,,6.086,6.236,6.086,6.559,6.137,5.946
Peru,Unemployment rate,Percent of total labor force,,6.876,6.7,6.6,13.6,9.689,7.571
Suriname,Unemployment rate,Percent of total labor force,,7,9,8.953,11.291,11.172,10.906
Trinidad and Tobago,Unemployment rate,Percent of total labor force,,4.825,3.925,n/a,n/a,n/a,n/a
Uruguay,Unemployment rate,Percent of total labor force,,7.925,8.367,8.925,10.35,10.265,9.069
Venezuela,Unemployment rate,Percent of total labor force,,27.886,35.543,n/a,n/a,n/a,n/a
