Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Aruba,ABW,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2305572784,2557265559,2561691720,1443955668,2200544447
,AFE,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.39503E+11,2.63951E+11,2.49534E+11,2.08632E+11,
Afganistán,AFG,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1152896050,1609472021,1515758749,1476305961,
,AFW,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.4065E+11,1.65964E+11,1.7643E+11,1.39028E+11,
Angola,AGO,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,35598035306,41388891319,35180142878,21004445129,33667391462
Albania,ALB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4143794703,4784712029,4822385626,3460812843,5588266406
Andorra,AND,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,2334900069,1841841696,
El mundo árabe,ARB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Emiratos Árabes Unidos,ARE,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Argentina,ARG,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,74168075514,77143165816,79920926953,64345147610,87345358675
Armenia,ARM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4409104126,4941746138,5718084796,3762564486,4880821796
Samoa Americana,ASM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Antigua y Barbuda,ATG,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"988693922,5",1037965892,1195701557,"590848723,4","749475680,8"
Australia,AUS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.96714E+11,3.27384E+11,3.42485E+11,3.00779E+11,3.90413E+11
Austria,AUT,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.25372E+11,2.52205E+11,2.46546E+11,2.22945E+11,2.69297E+11
Azerbaiyán,AZE,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,19840498000,25484473000,23629741260,15208753000,25487665000
Burundi,BDI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"270686218,1","285105476,8",,,
Bélgica,BEL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4.18158E+11,4.51144E+11,4.40132E+11,4.17521E+11,5.13529E+11
Benin,BEN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3314328545,3847619384,3584933958,3506194080,
Burkina Faso,BFA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3731165463,4511341340,4467669904,5355646933,
Bangladesh,BGD,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,39170435004,44128038982,44961040130,38475972660,49386074050
Bulgaria,BGR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,39873370000,43521580000,44041210000,39471620000,51457230000
Bahrein,BHR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,26732180851,30097340426,,,
Bahamas,BHS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3762686594,4751884607,5162348913,1646304100,
Bosnia y Herzegovina,BIH,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7432685496,8592405564,8193616004,6910578535,9925580850
Belarús,BLR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,36595400000,42267800000,41974900000,37184600000,49257436384
Belice,BLZ,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1030908165,1071298552,1102475875,"714623553,5",1042044789
Bermudas,BMU,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1395210435,1585558509,1605054628,1027345720,
Bolivia,BOL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,9588789732,10399006027,10271105039,7386420168,11325860290
Brasil,BRA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.52458E+11,2.74903E+11,2.60075E+11,2.39283E+11,3.17175E+11
Barbados,BRB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Brunei Darussalam,BRN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6025744290,7040938538,7827700937,6886208832,
Bhután,BTN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"716346961,3","785622133,8","777529115,3","786680733,2",
Botswana,BWA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6904828443,7532334396,6211316511,4686522106,
República Centroafricana,CAF,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Canadá,CAN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,5.18864E+11,5.57656E+11,5.6163E+11,4.84226E+11,6.11E+11
Europa Central y del Báltico,CEB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,9.44857E+11,1.05685E+12,1.05589E+12,1.00624E+12,1.23303E+12
Suiza,CHE,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4.55824E+11,4.83572E+11,4.75702E+11,4.68683E+11,5.67175E+11
Islas del Canal,CHI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Chile,CHL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,78612377275,84648707253,78021930713,79803007483,
China,CHN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.42928E+12,2.65101E+12,2.631E+12,2.7389E+12,3.5543E+12
Côte d'Ivoire,CIV,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,12855832030,13084415387,13790700197,13231734045,
Camerún,CMR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6548600007,7301078164,7730803120,6124444785,
"Congo, República Democrática del",COD,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,11656298361,16081644519,15173187660,13932327297,
"Congo, República del",COG,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Colombia,COL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,49321637422,53724018799,51324020019,38146328871,50375746972
Comoras,COM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"128196398,1","149388996,3","142209626,5","68753597,71",
Cabo Verde,CPV,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"795488589,6","963614037,6",1006345509,"418422220,4","473880816,6"
Costa Rica,CRI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,19408369540,21481080534,22737736850,19995615503,23813554969
Estados pequeos del Caribe,CSS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,30284625168,33729289102,32919082885,21296888370,
Cuba,CUB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Curacao,CUW,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1766117904,1934706439,1774901964,1013015814,
Islas Caimán,CYM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3824145799,3959020399,4205016947,3651881975,
Chipre,CYP,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,17000470675,19144948810,19460912339,18723329767,22413117042
República Checa,CZE,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.73235E+11,1.91694E+11,1.86545E+11,1.72837E+11,2.04785E+11
Alemania,DEU,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.7415E+12,1.88164E+12,1.81599E+12,1.67561E+12,2.00346E+12
Djibouti,DJI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4146589317,4563067955,5149672802,3694847411,
Dominica,DMA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"217536249,5","156550657,8","211175033,1","94823265,78","104958563,5"
Dinamarca,DNK,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.83375E+11,2.01745E+11,2.05019E+11,1.95729E+11,2.33802E+11
República Dominicana,DOM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,18991400000,20051700000,20509200000,14889400000,20509000000
Argelia,DZA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,37680842572,44387318896,38551346600,24903013616,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3.52826E+12,3.85541E+12,3.84363E+12,3.82405E+12,4.86302E+12
inicial del dividendo demográfico,EAR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.6209E+12,2.91847E+12,2.92076E+12,2.45341E+12,3.23944E+12
Asia oriental y el Pacífico,EAS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7.06774E+12,7.69472E+12,7.55224E+12,7.20282E+12,8.96729E+12
Europa y Asia central (excluido altos ingresos),ECA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,9.25379E+11,1.08509E+12,1.07301E+12,8.80087E+11,1.22771E+12
Europa y Asia central,ECS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,9.48603E+12,1.04728E+13,1.03193E+13,9.3843E+12,1.15018E+13
Ecuador,ECU,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,22528329315,25406130245,26119936569,22400619064,29351292155
"Egipto, República Árabe de",EGY,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,42874700000,51619507000,53522607000,40101707000,
Zona del Euro,EMU,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6.01923E+12,6.60623E+12,6.47841E+12,5.94124E+12,7.20137E+12
Eritrea,ERI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
España,ESP,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4.61907E+11,4.99367E+11,4.86852E+11,3.92806E+11,4.96963E+11
Estonia,EST,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,20442093049,22690137344,22985191183,21852907596,29164572438
Etiopía,ETH,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6637865077,7624331353,7588186488,7714600977,
Unión Europea,EUU,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7.17965E+12,7.88818E+12,7.76843E+12,7.17079E+12,8.69464E+12
Frágiles y situaciones de conflicto afectados,FCS,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3.1057E+11,3.97552E+11,3.95505E+11,2.61163E+11,
Finlandia,FIN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,96077881358,1.0601E+11,1.07084E+11,97320013287,1.16193E+11
Fiji,FJI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2467109097,2660357995,2636399008,1230186406,1171100886
Francia,FRA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,8.34698E+11,9.15679E+11,8.93555E+11,7.5961E+11,9.21605E+11
Islas Feroe,FRO,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Micronesia (Estados Federados de),FSM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Gabón,GAB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Reino Unido,GBR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,8.12042E+11,8.84875E+11,8.92632E+11,7.82998E+11,8.597E+11
Georgia,GEO,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7560033325,8896617467,9544767191,5926626715,
Ghana,GHA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,20436840000,22514756474,25592338542,22077073356,
Gibraltar,GIB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Guinea,GIN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4647370000,4079080000,4040730000,8996040000,10265900000
Gambia,GMB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"278129675,4","362513207,2","360207997,8",175681761,"135448117,1"
Guinea-Bissau,GNB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"375025865,4","380427720,4","291804892,1","232536091,8",
Guinea Ecuatorial,GNQ,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Grecia,GRC,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,70104581289,81867719581,81184115053,59021509142,87417353382
Granada,GRD,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"578131572,2",621273651,661722831,"421842996,1","393766414,2"
Groenlandia,GRL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Guatemala,GTM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,13250682480,13351063340,13597600570,12684679240,15318193150
Guam,GUM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Guyana,GUY,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1643614998,1575263927,1804674883,2796100098,
Ingreso alto,HIC,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.634E+13,1.78612E+13,1.75127E+13,1.56894E+13,1.90488E+13
"Hong Kong, Región Administrativa Especial",HKG,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6.44556E+11,6.81281E+11,6.45007E+11,6.08159E+11,7.5061E+11
Honduras,HND,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7325056706,7186375109,7231589019,6252742292,7785890900
Países pobres muy endeudados (PPME),HPC,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.63409E+11,1.78775E+11,1.82448E+11,1.72013E+11,
Croacia,HRV,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,28017790011,30716922932,31557460743,24198258103,35477050765
Haití,HTI,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1663184137,1783207737,1732740514,1013787180,1241186115
Hungría,HUN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.23244E+11,1.3456E+11,1.33736E+11,1.24205E+11,1.48183E+11
Sólo BIRF,IBD,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6.95138E+12,7.71496E+12,7.66678E+12,7.09764E+12,9.18138E+12
BIRF y la AIF,IBT,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,7.32729E+12,8.13965E+12,8.10957E+12,7.47298E+12,9.65869E+12
total de la AIF,IDA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,3.76043E+11,4.24942E+11,4.44172E+11,3.73299E+11,
mezcla de la AIF,IDB,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.35602E+11,1.57908E+11,1.66061E+11,1.18553E+11,
Indonesia,IDN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.9421E+11,2.11932E+11,2.00097E+11,1.78418E+11,2.46868E+11
Sólo AIF,IDX,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2.41374E+11,2.68106E+11,2.79285E+11,2.56098E+11,
Isla de Man,IMN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
India,IND,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4.89401E+11,5.37042E+11,5.46033E+11,4.84691E+11,6.43129E+11
No clasificado,INX,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Irlanda,IRL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4.07193E+11,4.71596E+11,5.02313E+11,5.59371E+11,6.71679E+11
"Irán, República Islámica del",IRN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,,,,,
Iraq,IRQ,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,63604256000,91930700000,88902900000,50613200000,
Islandia,ISL,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,11349579742,12262002727,11005290973,7457609132,9703010394
Israel,ISR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.04556E+11,1.11703E+11,1.1729E+11,1.14135E+11,1.42989E+11
Italia,ITA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6.03887E+11,6.56057E+11,6.36153E+11,5.57882E+11,6.86781E+11
Jamaica,JAM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,4869719763,5790176418,5977510516,3311057548,
Jordania,JOR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,14300140845,15092676056,16170140845,10354225352,
Japón,JPN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,8.75514E+11,9.29828E+11,9.04632E+11,7.94291E+11,9.19158E+11
Kazajstán,KAZ,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,53805890744,67146190250,65918989739,52355297736,66150550343
Kenya,KEN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,10448665299,11564054354,11471244797,9776102220,
Kirguistán,KGZ,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,2573040010,2734422358,3107699962,2435417783,
Camboya,KHM,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,15831866523,18413935868,21072422248,20289665278,20126374545
Kiribati,KIR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"29442474,7","19150922,83","32515795,46","21227822,97",
Saint Kitts y Nevis,KNA,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"505234862,9","597863201,1",598343192,"383152258,9","408470696,3"
"Corea, República de",KOR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,6.70012E+11,7.29944E+11,6.60507E+11,6.07505E+11,7.71202E+11
Kuwait,KWT,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,60454022414,85198897799,72833469299,47416410506,
América Latina y el Caribe (excluido altos ingresos),LAC,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,1.00078E+12,1.08596E+12,1.08607E+12,9.44054E+11,1.20009E+12
República Democrática Popular Lao,LAO,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,5653716801,6393172198,6985183367,6461129001,
Líbano,LBN,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,18939938603,19160811513,18208410174,8772251491,
Liberia,LBR,"Exportaciones de bienes y servicios (balanza de pagos, US$ a precios actuales)",BX.GSR.GNFS.CD,"429591652,9","527345230,8","554013270,8",,
