Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,México,MEX,..,..,14.89,14.83,14.73,13.92,14.02,14.03,13.86,13.73,12.79,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Argentina,ARG,..,..,13.22,13.25,13.23,13.26,13.45,13.54,13.49,13.45,13.21,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Antigua y Barbuda,ATG,..,..,34.77,34.18,30.82,28.99,25.91,25.6,23.99,23.75,20.91,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Bahamas,BHS,..,..,37.83,36.77,36.12,31.99,31.76,27.85,28.1,24.38,24.65,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Barbados,BRB,..,..,20.5,19.09,20.7,15.87,16.21,16.97,16.88,15.54,14.63,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Belice,BLZ,..,..,23.38,23.93,23.17,20.81,20.22,19.64,19.1,18.59,18.12,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Brasil,BRA,..,..,20.41,20.53,21.24,20.85,20.34,19.51,18.98,18.7,17.88,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Colombia,COL,..,..,15.05,15.66,15.65,16.2,15.95,15.37,14.86,14.48,13.5,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Costa Rica,CRI,..,..,22.8,22.33,22.09,22.1,21.57,20.53,19.68,18.95,17.18,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Chile,CHL,..,..,17.18,17.02,16.8,16.09,15.72,14.8,13.97,13.05,12.31,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Dominica,DMA,..,..,21.28,21.17,19.31,19.21,17.37,15.55,15.51,15.42,15.42,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Ecuador,ECU,..,..,12.91,11.96,11.57,11.51,10.96,9.68,9.49,9.74,..,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,El Salvador,SLV,..,..,11.06,11.73,11.66,11.46,13.24,14.82,14.92,14.79,14.64,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Granada,GRD,..,..,32.87,32.55,32.29,32.09,23.63,23.54,23.48,23.41,22.15,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Guatemala,GTM,..,..,35.73,36.1,35.95,35.9,34.94,34.19,27.69,25.56,24.3,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Guyana,GUY,..,..,7.66,8.13,8.4,8.48,8.39,8.31,8.23,8.15,8.09,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Haití,HTI,..,..,2.72,2.71,2.7,2.69,2.63,2.66,2.69,2.72,2.62,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Honduras,HND,..,..,21.21,21.49,21.32,19.31,19.51,19.44,18.89,18.39,16.1,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Jamaica,JAM,..,..,5.94,5.63,5.1,5.18,5.14,6.67,6.35,6.48,6.35,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Nicaragua,NIC,..,..,7.02,7.37,7.57,8.09,11.07,11.16,9.44,8.8,7.99,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Panamá,PAN,..,..,22.26,23.59,23.96,23.61,23.37,22.22,21.66,20.2,20.15,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Paraguay,PRY,..,..,10.02,10.32,9.1,10.12,10.1,11.68,11.53,11.02,9.82,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Perú,PER,..,..,7.79,7.94,8.25,8.37,8.1,7.6,7.22,6.56,6,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,República Dominicana,DOM,..,..,10.57,11.75,11.66,12.67,12.7,12.77,12.56,12.33,11.71,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,San Vicente y las Granadinas,VCT,..,..,20.93,20.76,20.58,20.42,16.69,16.54,16.4,16.27,16.16,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Santa Lucía,LCA,..,..,20.96,20.68,20.42,19.48,15.84,15.67,15.52,16.72,15.27,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Suriname,SUR,..,..,10.89,12.26,12.33,10.92,11.26,11.59,11.68,11.53,11.39,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Trinidad y Tobago,TTO,..,..,12.65,12.48,13.24,12.88,12.8,12.09,11.75,11.51,11.17,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Uruguay,URY,..,..,12.73,12.59,12.22,12,11.45,10.98,10.04,9.84,10.01,..
Sucursales de bancos comerciales (por cada 100.000 adultos),FB.CBK.BRCH.P5,Venezuela,VEN,..,..,17.16,17.06,16.97,16.53,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from Database: Indicadores del desarrollo mundial,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,
