Status,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status
Active,Zweispace,"Enterprise Tech Provisioning, Digital Payments","AI / ML / NLP, Enterprise Blockchain, Asset-Backed Stablecoin",2016,2016,Private,Japan,Japan,11-50,,,
Active,Zumo,"Digital Payments, Digital Custody","Payment processor, Hosted Cryptoasset Wallet",2017,2019,Private,United Kingdom,United Kingdom,11-50,,,
Active,Ztudium,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2011,2012,Private,United Kingdom,United Kingdom,11-50,,,
Active,Zowasel,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2017,2018,Private,United States,Nigeria,11-50,,,
Active,Zorin Finance,Digital Lending,Balance Sheet Property Lending,2011,2011,Private,United Kingdom,United Kingdom,11-50,,,
Active,Zopa,Digital Banks,Fully Digitally Native Bank (Retail),2004,2005,Private,United Kingdom,United Kingdom,201-500,,,
Active,Zooz,"Digital Payments, Enterprise Tech Provisioning, RegTech","API Hubs for Payments, Financial Management & Business Intelligence, API Management, Dynamic Compliance, Regulatory Reporting",2010,2012,Private,Israel,Israel,51-200,,,
Active,Zoonova Portfolio Performance Analytics.,WealthTech,Digital Wealth Management,2016,2016,Private,United States,United States,1-10,,,
Active,Zoona,"Digital Lending, Digital Payments, Enterprise Tech Provisioning","Balance Sheet Business Lending, Mobile Money, Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Bulk Payment Solutions, Electronic Invoicing",2009,2009,Private,Zambia,Zambia,11-50,,,
Active,Zoomaal,Digital Capital Raising,Reward-Based Crowdfunding,2013,2012,Private,Lebanon,Lebanon,30,,,
Active,ZONNEPANELENDELEN,Digital Lending,"Debt-Based Securities, Mini-Bonds",2011,2016,Private,Netherlands,Netherlands,6,,,
